                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.52401,                0.56264,                0.87808,                0.96995,                0.97368,                0.96527,                0.87122,                0.46111,                 1.0132,                0.83184,                0.00307,                0.00307,                0.00307
                     37,                 0.4978,                 0.5701,                0.87207,                0.97934,                0.97368,                0.97517,                0.88128,                0.45334,                0.86539,                0.83107,               0.002872,               0.002872,               0.002872
                     38,                0.49032,                0.52717,                0.87218,                0.97489,                0.96298,                0.97175,                0.89639,                0.41275,                0.81838,                0.83032,               0.002674,               0.002674,               0.002674
                     39,                0.49293,                0.52179,                 0.8685,                0.96849,                0.96356,                0.96446,                0.88655,                0.40809,                0.99819,                0.82934,               0.002476,               0.002476,               0.002476
                     40,                0.47752,                0.49251,                0.86948,                0.96601,                0.97368,                0.95976,                0.87777,                0.41222,                 1.0838,                0.83282,               0.002278,               0.002278,               0.002278
                     41,                0.47922,                0.50486,                0.87354,                0.97205,                0.97368,                0.96067,                0.88793,                0.43697,                 1.0431,                0.83207,                0.00208,                0.00208,                0.00208
                     42,                0.47736,                0.51227,                0.86457,                0.96565,                0.97145,                0.96388,                0.88545,                0.41202,                0.98087,                0.82791,               0.001882,               0.001882,               0.001882
                     43,                0.48397,                0.51673,                0.86343,                0.96896,                0.97368,                0.97306,                0.89995,                0.41685,                  0.947,                 0.8252,               0.001684,               0.001684,               0.001684
                     44,                 0.4897,                0.49257,                  0.873,                0.96795,                0.97368,                 0.9734,                0.89131,                0.41047,                0.91948,                0.82367,               0.001486,               0.001486,               0.001486
                     45,                 0.4581,                0.50063,                0.85266,                0.97122,                0.97368,                0.97325,                0.89854,                0.39755,                0.90174,                0.81352,               0.001288,               0.001288,               0.001288
                     46,                0.44964,                0.46704,                0.85878,                  0.971,                0.97368,                0.97337,                0.90049,                0.39462,                0.91963,                0.81288,                0.00109,                0.00109,                0.00109
                     47,                0.46013,                0.47619,                  0.859,                0.97268,                0.97577,                0.97648,                 0.9115,                0.37533,                0.84708,                0.80839,               0.000892,               0.000892,               0.000892
                     48,                0.45142,                0.46868,                 0.8501,                 0.9716,                0.97368,                0.97535,                0.90573,                0.36643,                0.89273,                0.80861,               0.000694,               0.000694,               0.000694
                     49,                0.43244,                0.46103,                0.84598,                0.97168,                0.97368,                0.97214,                0.90414,                0.38302,                0.90966,                0.81248,               0.000496,               0.000496,               0.000496
